departamento,poblacion_2025
Amazonas,85057
Antioquia,6928372
Arauca,279191
Atlántico,2865034
Bogotá,7942867
Bolívar,2241282
Boyacá,1290393
Caldas,1054450
Caquetá,429041
Casanare,473165
Cauca,1599148
Cesar,1469159
Chocó,593106
Cundinamarca,3535067
Córdoba,1992907
Guainía,59706
Guaviare,84696
Huila,1208728
La Guajira,1066679
Magdalena,1544507
Meta,1156405
Nariño,1713586
Norte de Santander,1709289
Putumayo,390742
Quindío,557884
Risaralda,1003225
San Andrés y Providencia,63438
Santander,2398303
Sucre,1034102
Tolima,1386410
Total,53057212
Valle del Cauca,4708393
Vaupés,44142
Vichada,148738
